K1,Construction
10606,6OE*6OE-48*44-162.6-4/4 MATT
10609,885D.PET*885D.PET-38*28-156-PLAIN
10609,885D.PET*885D.PET-38*28-156-PLAIN
10714,7OE*6OE-68*38-165.1- 3/1
10750,"7OE*7OE-68*38-160-3/1,S TWILL"
10752,"7OE*7OE-68*38-156.2-3/1,S TWILL"
10753,"7OE*7OE-68*44-162.6-3/1,S TWILL"
10756,"7OE*10OE-66*36-160-3/1,S TWILL"
10758,"7OE*7OE-66*44-159.2-3/1,S TWILL"
10759,"7OE*7OE-64*42-172.7-3/1,S TWILL"
10761,7OE*6OE-64*44-160-3/1 BKT
10763,"7OE*7OE-66*42-161.2-3/1,S TWILL"
10764,"7OE*7OE-70*40-165.1-3/1,S TWILL"
10765,"7OE.OG*7OE.OG-66*44-163.2-3/1,S TWILL"
10765,"7OE*7OE-66*44-163.2-3/1,S TWILL"
10766,7OE*7OE-66*38-165-3/1 S TWILL
10766,"7OE*7OE-66*38-165-3/1,S TWILL"
10828,8OE*10K.SPX(70D)-58*46-184.4-3/1 S TWILL
10828,"8OE*10SPX-58*46-184.4-3/1,S TWILL"
10828,"8OE*10SPX-58*46-153.7-3/1,S TWILL"
10828,"8OE*10LYC-58*46-153.7-3/1,S TWILL"
10829,8OE*10OE-66*52-160-3/1 BKT
10831,"8OE*8OE-66*42-157.5-2/1,S TWILL"
10841,"8OE*10SPX-61*46-173.5-2/1,Z TWILL"
10841,"8OE*10SPX-61*46-163.3-2/1,Z TWILL"
10842,8OE*8OE-68*50-153.7-2/2 MATT
10843,"8OE*10K.SPX-61*46-168.4-2/1,Z TWILL"
10844,"8OE+8MC*10OE-68*54-161.5-3/1,Z TWILL"
10845,8OE*10K.SPX(70D)-58*46-186.03-3/1 S TWILL
10845,8OE*10K.SPX(70D)-58*46-186.03-3/1 S TWILL
10845,"8OE*10K.SPX-58*46-184.4-3/1,S TWILL"
10846,8OE*10K.SPX(70D)-68*48-174.80-3/1 S TWILL
10846,8OE*10K.SPX(70D)-68*48-174.5-3/1 S TWILL
10846,"8OE*10SPX-68*48-174.5-3/1,S TWILL"
11008,10OE.OG*10OE-69*38-157.5-PLAIN
11008,10OE*10OE-69*38-165.2-PLAIN
11008,10OE*10OE-69*38-157.5-PLAIN
11008,10OE*10OE-69*38-157.5-PLAIN
11024,10OE*10OE-69*40-162.1-PLAIN
11034,"10OE.OG*10OE.OG-66*40-160-3/1,S TWILL"
11034,"10OE*10OE-66*40-160-3/1,S TWILL"
11034,"10OE*10OE-66*40-160-3/1,S TWILL"
11061,10OE*10OE+10SLUB-64*68-- MATT
11087,"10OE*7OE-76*44-161.3-3/1,S TWILL"
11094,"10OE.OG*6OE.OG-54*52-171.2-2/2,S TWILL"
11094,"10OE*6OE-54*52-171.2-2/2,S TWILL"
11094,10OE*6OE-54*52-159-2/2S TWILL
11097,10OE*10OE-74*38-163.1-OXFORD
11258,12K*10K-78*44-174.1-3/1 S TWILL
11258,"12OE*10OE-79*44-166.2-3/1,S TWILL"
11258,"12OE*10OE-78*44-165.3-3/1,S TWILL"
11258,"12K*10K-78*44-174.1-3/1,S TWILL"
11260,12OE*16OE+16SPX-70*60-155.7-2/2 TWILL
11260,12OE*16OE+16LYC-70*60-155.7-2/2 TWILL
11267,"12OE*8OE-76*52-160-2/2,S TWILL"
11270,"12CVC*8CVC-71*45-165.1-2/1,S TWILL"
11273,12OE*20SPX-76*74-161-DOBBY TOP BEAM
11283,12OE*10OE-72*44-160.8-3/1 TWILL
11291,12K*12OE-76*68-161.3-2/2 HBT TOP BEAM
11297,12OE*12OE-88*60-157.5-3/1 TWILL
11299,"12OE*10OE-87*52-162.5-3/1,S TWILL"
11299,"12K*10K-87*52-162.6-3/1,S TWILL"
11403,14VORTEX.PC*14VORTEX.PC-81*50-161.9-2/1 S TWILL
11403,14PC.RECY*14PC.RECY-81*50-161-2/1 S TWILL
11403,14C.PC.RECY.OG.COT*14C.PC.RECY.OG.COT-81*50-161-2/1 S TWILL
11403,14C.PC.RECY*14C.PC.RECY-81*50-161-2/1 S TWILL
11403,14PC*14PC-81*52-162.6-2/1 TWILL
11403,14PC*14PC-81*50-162.6-2/1 TWILL
11403,14PC*14PC-81*50-162.6-2/1 TWILL
11403,"14OE.PC*14OE.PC-81*50-162.6-2/1,S TWILL"
11403,"14OE.PC*14OE.PC-81*50-161.1-2/1,S TWILL"
11403,"14K.PC*14OE.PC-81*50-162.6-2/1,S TWILL"
11403,"14K.PC*14OE.PC-81*50-162.6-2/1,S TWILL"
11403,"14K.PC*14OE.PC-81*50-161.1-2/1,S TWILL"
11403,"14K.PC*14K.PC-81*50-161.1-2/1,S TWILL"
11403,"14K.PC*14K.PC-81*50-161.1-2/1,S TWILL"
11403,"14C.VORTEX.PC*14C.VORTEX.PC-81*50-161.1-2/1,S TWILL"
11403,"14C.PC*14K.PC-81*50-161.1-2/1,S TWILL"
11403,"14C.PC*14C.PC-81*50-161.1-2/1,S TWILL"
11403,14PC*14PC-81*50-162.6-
11412,14PC*14PC-98*56-160.8-3/1 TWILL
11413,14C.PC*10K.PC-99*50-161.70-3/1 S TWILL
11413,14C.PC*10C.PC-99*50-161.70-3/1 S TWILL
11413,"14VORTEX.PC*10K.PC-99*50-162.3-3/1,S TWILL"
11413,"14K.PC*10OE.PC-99*50-162.3-3/1,S TWILL"
11413,"14K.PC*10K.PC-99*50-162.3-3/1,S TWILL"
11413,"14K.PC*10K.PC-99*50-162.3-3/1,S TWILL"
11413,"14K.PC*10K.PC-99*50-162.3-3/1,S TWILL"
11413,"14K.PC*10K.PC-100*50-160-3/1,S TWILL"
11414,14K.PC*14K.PC-96*56-160-3/1 TWILL
11419,"14PC*10PC-100*52-160-2/2,Z TWILL"
11453,14PC*10PC-82*32--
11454,14PC*10PC-82*44--
11457,14PC*10PC-100*46--
11458,14OE*20LYC-96*56--
11459,14OE+14SLUB*14OE+14SLUB-96*56--
11460,14PC*6PC-58*32-172.7-
11466,14OE+14SLUB*20LYC+16OE-72*60--
11467,14OE+14SLUB*14OE+14SLUB-72*56--
11480,14PC*14OE.PC-98*56-160.8-3/1 TWILL
11488,14OE*10OE-110*56-156.7-2/2 MATT
11490,"14PC*14OE.PC-81*56-161.8-2/1,Z TWILL"
11491,"14PC*14PC-81*56-162.6-2/1,S TWILL"
11492,14OE*14MC-74*52-160.8-PLAIN
11493,"14OE.PC*14PC-81*56-162.6-2/1,S TWILL"
11494,"14OE.PC*10OE.PC-98*54-160.8-2/2,S TWILL"
11496,"14PC*10OE.PC-98*54-160-2/2,S TWILL"
11497,"14PC*10OE-104*52-176-3/1,S TWILL"
11497,"14PC*10OE-104*52-160-3/1,S TWILL"
11497,"14PC*10OE-104*52-160-3/1,S TWILL"
11497,"14K.PC*10OE-102*52-163.8-3/1,S TWILL"
11498,"14PC*14PC-82*46-160-2/1,S TWILL"
11499,"14CVC*10OE.CVC-104*52-160-3/1,S TWILL"
11501,15MVS*12PC-78*50-170.2- 2/1 TWILL
11502,15MVS*12OE-78*50-170.2- 2/1 TWILL
11503,15MVS*12PC(S)-68*52-182.4- 2/1 TWILL
11503,15.5PC*12PC(S)-68*52-182.4- 2/1 TWILL
11504,15VORTEX*15VORTEX-79*56-166.1-2/1 TWILL
11505,"15PC*15PC-87*54-162.6-2/1,S TWILL"
11615,"16K*12OE-108*56-160-3/1,S TWILL"
11615,"16K*12OE-106*56-158-3/1,S TWILL"
11615,"16K*12OE-106*56-158-3/1,S TWILL"
11617,16K*20LYC-104*60-164.1-3/1 TWILL
11619,"16OE*12OE-106*56-162-3/1,S TWILL"
11619,"16OE*12OE-106*56-162.1-3/1,S TWILL"
11619,"16OE*12OE-106*56-162.1-3/1,S TWILL"
11637,16OE*12OE-114*56-155-3/1 S TWILL
11637,16OE*12OE-114*56-154.9-3/1 TWILL
11637,16OE*12OE-114*56-154.9-3/1 TWILL
11637,"16OE*12OE-114*56-155-3/1,S TWILL"
11637,"16OE*12OE-114*56-155-3/1,S TWILL"
11637,"16OE*12OE-114*56-155-3/1,S TWILL"
11637,"16OE*12OE-114*56-155-3/1,S TWILL"
11637,"16OE*12OE-114*56-155-3/1,S TWILL"
11637,"16OE*12OE-114*56-155-3/1,S TWILL"
11637,"16OE*12K-114*56-155-3/1,S TWILL"
11637,"16K*12OE-114*56-155-3/1,S TWILL"
11637,"16K*12OE-114*56-155-3/1,S TWILL"
11644,16PC*12PC-80*45-162.6-
11646,"16OE*16SPX-97*44-172-2/1,S TWILL"
11646,"16K*16LYC-97*44-157.2-2/1,S TWILL"
11649,16K*12OE-106*56-158-3/1 S TWILL
11649,16K*12OE-106*56-158-3/1 S TWILL
11649,16K*12K-106*56-158-3/1 S TWILL
11649,16K*12K-106*56-158-3/1 S TWILL
11649,16C*12C-106*56-158-3/1 S TWILL
11649,16OG*12OG-106*56-158-3/1 TWILL
11649,"16OE.ORG*12OE.ORG-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11649,"16OE*12OE-106*56-158-3/1,S TWILL"
11671,16OE*12OE-106*56-159-2/2 MATT
11671,16OE*12OE-106*56-159-2/2 MATT
11671,16K*12OE-106*56-159-2/2 MATT
11671,16OE.OG*12OE-106*56-159-MATT
11671,16OE*12OE-106*56-159-MATT
11671,16K*12OE-106*56-159-MATT
11810,18OE+14MC*10OE+10MC-120*54-159.8-3/1
11812,8OE+20C*8OE+2/40C-64*54-159.5-2/2 TWILL
11815,18*14-124*60-152.4-3/1 TWILL
12009,20K*20K-100*58-160-
12031,20VX*20VX-106*56-154.5-PLAIN
12031,20VX*20VX-106*56-154.5-PLAIN
12031,20OG*20OG-106*56-154.5-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-154.5-PLAIN
12031,20OE*20OE-106*56-154.5-PLAIN
12031,20OE*20OE-106*56-154.5-PLAIN
12031,20OE*20OE-106*56-154.5-PLAIN
12031,20OE*20OE-106*56-154.5-PLAIN
12031,20OE*20OE-106*56-154.5-PLAIN
12031,20OE*20K-106*56-154.5-PLAIN
12031,20K.RECY.COT*20K.RECY.COT-106*56-154.5-PLAIN
12031,20K*20K-106*56-154.5-PLAIN
12031,20K*20K-106*56-154.5-PLAIN
12031,20COM*20COM-106*56-154.5-PLAIN
12031,20C.RECY.COT*20C.RECY.COT-106*56-154.5-PLAIN
12031,20C*20C-106*56-154.5-PLAIN
12047,20OE*20K-106*56-157.5-3/1 S TWILL
12047,20OE RC*20OE RC -106*56-157.5-3/1 S TWILL
12047,20K*20OE-106*56-157.7-3/1 S TWILL
12047,20K*20K-106*56-161.9-3/1 S TWILL
12047,20COM*20COM-106*56-157.5-3/1 S TWILL
12047,20C*20C-106*56-161.9-3/1 S TWILL
12047,20OE*20OE-106*56-159.5-3/1 TWILL
12047,20OE*20OE-106*56-158-3/1 TWILL
12047,20C*20C-106*56-157.5-3/1 TWILL
12047,"20OE*20OE-106*56-157-3/1,S TWILL"
12047,"20OE*20OE-106*56-157.5-3/1,S TWILL-"
12047,"20OE*20OE-106*56-157.5-3/1,S TWILL"
12047,"20OE*20OE-106*56-157.5-3/1,S TWILL"
12047,"20OE*20K-106*56-157.5-3/1,S TWILL"
12047,"20OE*20K-106*56-157.5-3/1,S TWILL"
12047,"20OE*20C-106*56-157.5-3/1,S TWILL"
12047,"20K.COM*20K.COM-106*56-157.5-3/1,S TWILL"
12047,"20K*20K-106*56-157.7-3/1,S TWILL"
12047,"20K*20K-106*56-157.5-3/1,S TWILL"
12047,"20C*20C-106*56-157.5-3/1,S TWILL"
12047,"20C*20C-106*56-157.5-3/1,S TWILL"
12051,20K*10OE-120*60-160-3/1 TWILL
12091,20OE*16OE-128*60-155.7-3/1 (S)TWILL
12091,20K*16K-128*60-155.7-3/1 (S)TWILL
12091,20K*16K-128*60-155.7-3/1 (S)TWILL
12091,20K*16OE-128*60-155.7-3/1 S TWILL
12091,20K*16K-128*60-155-3/1 S TWILL
12091,20C*16K-128*60-155-3/1 S TWILL
12091,"20OE*16OE-128*60-152.3-3/1,S TWILL"
12091,"20K*16OE-128*60-152.3-3/1,S TWILL"
