Segment,Customer,Doc No,Line No,K1,K2,K3,K4,Shade,Ord. Qty,Sub Segment,Season,Style,Merchant,PO No.,Rate,Cops No,Cops Ln,K5,K6,K7,Dispatched,Bal to Dispatch,FSC Commit Date,Q1,Q2,Q3,Q4,Q5,Q6,WIP Status,Mktg Remark for FSCM,Mktg Remark for Internal,FPT,Airway Bill No,PreShip Dt1,PreShip Dt2,Doc Date,DO No.,Sch Plant I/p Dt,CostCenter,Loom Start Dt.,Export/Domestic,YD/PD,Closed DB2,CV STK,A/H Name,Multiple Del Date,Bal To Issue AT1,Packed In AT1,Last Packing Date,Last Q1/Q5 Date,Q7,Last Dispatch Date,Bal To Issue AT2,Packed In AT2,Last Packing Date AT2,Last Q1/Q5 Date AT2,Q1 AT2,Q2 AT2,Q3 AT2,Q4 AT2,Q5 AT2,Q6 AT2,Q7 AT2,Dispatched From AT2,WIP Status AT2,Greige Stock Baddi,Greige Stock Budhni,Greige K1,Greige Construction,Finish Construction,Actual Planning Month,RGEDOD,Input Date AT1,Input Date AT2,Running Looms,Delay Del Date Greige,Delay Del Date At1,Delay Date AT2,Lab Ref No,Strike Off No,Dispatch In Same SO,Dispatch In Other SO,Close Tag Marketing,Order Creation Date,Delay in Days,Budget Remark,BCI Tracer Account,Pref Factory,Weaving Plant,AT1 P/O Date,AT2 P/O Date,Commulative Order Qty,Labdip Option No,Strike-Off Option No,Preschepment Docket No,Light Source,Exec Remark,PPC Comment,Committed Dely Date,CR Date,Revised CR Date,PO No AT1,PO No AT2,Item Type,Closed By,Closed On,Closed Remark,Invoice No,Invoice Qty,Approved & Non Approved,End Use,Supply chain Feasibility comments,QUERY CONF DATE,Original Order Quantity,Grey Allocation Start Dt,Order Partner,Terms of Delivery,Terms of Shipping,HEAD ENDS,FINISH WIDTH,GREY COST,PROCESS COST,OTHER COST,PBIT,Dyed Yarn 1st Creel Disp Date,Dyed Yarn Disp Completion Date,Dyeing Req Date,DL Appr Status,Export Invoice No,Weave Comment,Dispatch Tolerance,Fabric XYZ Consumption,Fabric Risk,Rev Fabric Risk,QA Comments 1
RMGE,Aathava Garments India Private Limited,QRE70_E70-23000495,10,ARTAWT,BA,DGNAWT,DUMMY,,23000.0,JOCKEY - India,,,,,198.0,,,CV-752RDPI,RYD0000000,,0,23000.0,,,,,,,,,,,,,,,2024-01-19 00:00:00,RM.1023.0023.B,,,,DOMESTIC,YD,0.0,,Gurpreet Singh,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,ARTAWTBA,,,,,,,,,,,,,0.0,0.0,Unchecked,2024-01-19 00:00:00,,,,Baddi,Baddi,,,0,,,,,,,,2024-03-07 00:00:00,2024-03-07 00:00:00,,,BYF,,,,,0.0,,,,2024-01-20,23000.0,,105660.0,,,,0.0,0.0,0.0,0,10.0,,,,30th Jan,,,,,,,
RMGE,VISHWAA APPARLES,QRE70_E70-23000494,10,ARTAWTD,BA,CT+NF,STDAWTD000,,14000.0,MARC O POLO,,,,,216.0,,,CT+DA,SCREEN0005,REACTIVE00,0,14000.0,,,,,,,,,,,,,,,2024-01-19 00:00:00,18015 BAMMY,,,,DOMESTIC,PD,0.0,,Deepak Bansal,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,ARTAWTDBA*,,,,,,,,,,,,,0.0,0.0,Unchecked,2024-01-19 00:00:00,,,,Baddi,Baddi,,,0,,,,,,,,2024-03-30 00:00:00,2024-03-30 00:00:00,,,BPR,,,,,0.0,Non-Approved,,,2024-01-25,14000.0,,103467.0,,,,0.0,0.0,0.0,0,10.0,,,,,,,,,,,
RMGE,TAL Apparel,QRE70_E70-23000485,10,ARTAWT,BA,DGNAWT,DUMMY,,3657.0,MILL NORMS( MILL STD),,,,,1.09,,,ST-SF,RYD0000000,,0,3657.6,,,,,,,,,,,,,,,2024-01-11 00:00:00,A3A0A014 C33001 HH01,,,,DOMESTIC,YD,0.0,,Rohit Mittal,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,ARTAWTBA,,,,,,,,,,,,,0.0,0.0,Unchecked,2024-01-11 00:00:00,,,,Baddi,Baddi,,,0,,,,,Order To Punch,,,2024-04-11 00:00:00,2024-04-11 00:00:00,,,BYF,,,,,0.0,,,,2024-01-22,4000.0,,152471.0,,,,0.0,0.0,0.0,0,0.0,,,,Appd,,,,,,,
RMGE,TALLAM APPARELS,QRE70_E70-23000483,10,ARTAWTD,BA,SCM+NF,STDAWTD000,,4846.0,MILL NORMS( MILL STD),,,,,1.09,,,SCM+SF,SCREEN0001,PIGMENT000,0,4846.32,,,,,,,,,,,,,,,2024-01-11 00:00:00,A130D769 HDKS,,,,DOMESTIC,PD,0.0,,Vikas Thakur,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,35.0,0.0,A130D769HDKS,30K.COM*16K Spx 70D+12K M-134*66-177.1-DOBBY-12.04.007.C,,,,,,,,,,,,0.0,0.0,Unchecked,2024-01-11 00:00:00,,,,Baddi,Baddi,,,0,,,,,,,,2024-04-11 00:00:00,2024-04-11 00:00:00,,,BPR,,,,,0.0,Non-Approved,,,2024-01-22,5300.0,2024-01-20,101948.0,,,,0.0,0.0,0.0,0,30.0,,,,,,12K M yarn yarn key awt from FTC,,,,,
RMGE,Aathava Garments India Private Limited,QRE70_E70-23000460,10,A140F896,BLMFWJ,C44004,DH01,,100000.0,HANES,,,,,125.0,,,SPC-75RDA,RYD0000000,,0,100000.0,,,,,,,,,,,,,,,2023-12-28 00:00:00,,,,,DOMESTIC,YD,0.0,,Gurpreet Singh,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,1501.0,0.0,A140F896BLMFW,40COM*80D (75/72/20) P Spx-92*72-190.27-PLAIN,,,,,,0,,,,,,0.0,0.0,Unchecked,2023-12-28 00:00:00,,,,Baddi,Baddi,,,0,,,,,Order To Punch,Order to Punch,,2024-02-18 00:00:00,2024-02-18 00:00:00,,,BYF,,,,,0.0,,,,,100000.0,,105660.0,,,,0.0,0.0,0.0,0,0.2,,,,,,,,,,,
RMGE,DEBONAIR LTD,QRE70_E70-23000459,10,DUMMY,0,CT+NF,STDAWTD000,,8942.0,MILL NORMS( MILL STD),,,,,1.09,,,DUMMY,SCREEN0002,PIGMENT000,0,8942.83,,,,,,,,,,,,,,,2023-12-28 00:00:00,120F76 BDOOO,2024-03-27 00:00:00,,2024-02-27 00:00:00,EXPORT,PD,0.0,,Vikas Thakur,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,176.76,120F76BDOOO,20OE.OG*16OE.OG-101*56-164.31-RIBSTOP,,2024-04-01 00:00:00,2024-03-25 00:00:00,2024-04-01 00:00:00,,,,,,,,0.0,0.0,Unchecked,2023-12-28 00:00:00,,,,Baddi,Baddi,,,0,,,,,Order To Punch,Order to Punch,,2024-03-30 00:00:00,2024-03-30 00:00:00,,,BPR,,,,,0.0,Non-Approved,,,2024-01-30,9780.0,2024-02-29,151790.0,,,,0.0,0.0,0.0,0,0.0,,,,,,20OE.OG And 16OE.OG both yaran date 24 Feb,,,,,
RMGE,EVOLV CLOTHING COMPANY PVT LTD,MIFYM_FY-23000134,10,A124A754,BDDDJ,CT-PST,LD00000000,,7750.0,NZA,,,,,158.0,,,,,,0,7750.0,,,,,,,,,,,,,,,2024-01-12 00:00:00,,,,,DOMESTIC,RD,0.0,,Gautam Joshi,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,170.0,A124A754BDDD,24K.COM*30K.COM-133*80-160.15-2/1 S TWILL,,,,,,0,,,,,,0.0,0.0,Unchecked,2024-01-12 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,,Men’s Bottoms,,,7750.0,,106224.0,,,Yes. 60cm. After Invoicing,142.0,111.31,25.32,0,21.37,,,,,,,,,,,
RMGE,AQUARELLE INDIA PRIVATE LIMITED,MIFYM_FY-23000132,10,A280A183,BAMMCKY,CT-MS,STDAWTD000,,56000.0,MILL NORMS( MILL STD),,,,,188.0,,,,,,0,56000.0,,,,,,,,,,,,,,,2024-01-09 00:00:00,,,,3000-01-01 00:00:00,DOMESTIC,PD,0.0,,Deepak Bansal,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,100.0,0.0,A280A183BAMMCY,2/80COM OG*40COM-84*76-179.10-PLAIN,,,3000-01-01 00:00:00,,,0,,,,,,0.0,0.0,Unchecked,2024-01-09 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,,,,56000.0,,104997.0,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
RMGE,BRANDIX CASUALWEAR BANGALDESH LTD,MIFYM_FY-23000069,10,A120C498,BDOOX9,CP-PF,STDAWTD000,,70000.0,Amazon India,,,,,1.0,,,,,,0,70000.0,,,,,,,,,,,,,,,2023-09-08 00:00:00,A120C498 BDOOX9,,,,EXPORT,PD,0.0,,Gautam Joshi,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,65712.43,A120C498BDOOX9,20OE CVC  INC TCR*16OE CVC INC TCR-115*58-171.5-3/,,,,,,8,,,,,,0.0,0.0,Unchecked,2023-09-08 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,,,,70000.0,,151204.0,,,,0.0,0.0,0.0,0,0.0,,,,,,Yarn MIL,,,,,A120C498/ BDOOX9 (IC2 cotton from cotton connect)
RMGE,REFAT GARMENTS LTD,MIFYM_FY-23000013,10,132194,BDMCO,ST-4SF,LD00000000,,5117.0,VF(Timberland),,,,,3.38,,,,,,0,5117.9,,,,,,,,,,,,,,,2023-05-19 00:00:00,,,,,EXPORT,PD,0.0,,Vikas Thakur,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,7916.88,132194BDMCDO,32COM.OG*30OG.SPX(40D)-112*72-179-PLAIN,,,,,,0,,,,,,0.0,0.0,Unchecked,2023-05-19 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,Men’s Bottoms,,,5597.0,,150774.0,,,,148.0,140.26,60.66,0,63.01,,,,,,YARN MIL,,,,,
