Segment,Customer,Doc No,Line No,K1,K2,K3,K4,Shade,Ord. Qty,Sub Segment,Season,Style,Merchant,PO No.,Rate,Cops No,Cops Ln,K5,K6,K7,Dispatched,Bal to Dispatch,FSC Commit Date,Q1,Q2,Q3,Q4,Q5,Q6,WIP Status,Mktg Remark for FSCM,Mktg Remark for Internal,FPT,Airway Bill No,PreShip Dt1,PreShip Dt2,Doc Date,DO No.,Sch Plant I/p Dt,CostCenter,Loom Start Dt.,Export/Domestic,YD/PD,Closed DB2,CV STK,A/H Name,Multiple Del Date,Bal To Issue AT1,Packed In AT1,Last Packing Date,Last Q1/Q5 Date,Q7,Last Dispatch Date,Bal To Issue AT2,Packed In AT2,Last Packing Date AT2,Last Q1/Q5 Date AT2,Q1 AT2,Q2 AT2,Q3 AT2,Q4 AT2,Q5 AT2,Q6 AT2,Q7 AT2,Dispatched From AT2,WIP Status AT2,Greige Stock Baddi,Greige Stock Budhni,Greige K1,Greige Construction,Finish Construction,Actual Planning Month,RGEDOD,Input Date AT1,Input Date AT2,Running Looms,Delay Del Date Greige,Delay Del Date At1,Delay Date AT2,Lab Ref No,Strike Off No,Dispatch In Same SO,Dispatch In Other SO,Close Tag Marketing,Order Creation Date,Delay in Days,Budget Remark,BCI Tracer Account,Pref Factory,Weaving Plant,AT1 P/O Date,AT2 P/O Date,Commulative Order Qty,Labdip Option No,Strike-Off Option No,Preschepment Docket No,Light Source,Exec Remark,PPC Comment,Committed Dely Date,CR Date,Revised CR Date,PO No AT1,PO No AT2,Item Type,Closed By,Closed On,Closed Remark,Invoice No,Invoice Qty,Approved & Non Approved,End Use,Supply chain Feasibility comments,QUERY CONF DATE,Original Order Quantity,Grey Allocation Start Dt,Order Partner,Terms of Delivery,Terms of Shipping,HEAD ENDS,FINISH WIDTH,GREY COST,PROCESS COST,OTHER COST,PBIT,Dyed Yarn 1st Creel Disp Date,Dyed Yarn Disp Completion Date,Dyeing Req Date,DL Appr Status,Export Invoice No,Weave Comment,Dispatch Tolerance,Fabric XYZ Consumption,Fabric Risk,Rev Fabric Risk,QA Comments 1
RMGE,WIN INDIA EXPORTS,BLS81_S81-20002873,10,A240A777,BAMKJ,ST-ST,RFD0000000,PBAX camo,7400,DIESEL,SS-22,,Vasanth,,183,S81_S81-20002873,10,,,,7389,11,,,,,,,,,,,,,15-02-2021,21-02-2021,28-12-2020,A240A777 HMKJ,17-02-2021,,31-01-2021,DOMESTIC,RD,TRUE,,Arun Kumar,7400-20/02/2021,0,0,20-02-2021,,,,0,0,,,0,0,0,0,0,0,0,,,0,0,A240A777BAMK,2/40COM*20K.SPX(70D)-90*60-173.41-RIBSTOP,,Feb-21,16-02-2021,,,0,,20-02-2021,,,,0,0,Unchecked,28-12-2020,,,,Baddi,,15-02-2021,,0,,,,D-65,,,,,,"F0Q0005448,F0Q0005468",,BPF,,,,,0,,,,,7400,,103072,DAC,RD,yes,148,116.79,22.85,0,43.36,,,,,,non cr article received 2nd jan,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20002872,10,A260A259,BAMCBWNJ,ST-8ST,RFD0000000,RFD,2200,DIESEL,SS-22,,Vasanth,,248,S81_S81-20002872,10,,,,2165,35,,,,,,,,,,,,,22-02-2021,,28-12-2020,,05-02-2021,,19-01-2021,DOMESTIC,RD,TRUE,,Arun Kumar,2200-14/02/2021,0,0,21-02-2021,,,,0,0,,,0,0,0,0,0,0,0,,,0,0,A260A259BAMCBWN2,2/60COM*40SPX(40D)-118*114-197.69-2/2 Z TWILL,,Feb-21,31-01-2021,,,0,16-02-2021,25-02-2021,,,,0,0,Unchecked,28-12-2020,,,,Baddi,,18-02-2021,,0,,,,D-65,,,,,,F0A0015902,,BPF,,,,,0,,,,,2200,,103072,DAC,RD,yes,142,183.5,32.94,0,31.56,,,,,,,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001603,1,25065,BAMMA,CT+NF,RFP0000000,EEAG Camo,135,DIESEL,SS-21,,Vasanth,,400,S81_S81-20001603,1,CT+SF,E001534C06,P8A0000001,126,9,,,,,,,,,,,,,03-11-2020,,15-10-2020,,17-10-2020,,16-10-2020,DOMESTIC,RD,TRUE,,Arun Kumar,135-02/11/2020,0,0,02-11-2020,,,,0,0,,,0,0,0,0,0,0,0,,,992,0,25065BAMMA,"2/50COM*2/50COM-136*76-160-3/1,Z TWILL",,Oct-20,16-10-2020,,24-10-2020,0,,,,,,0,0,Unchecked,15-10-2020,,,,Baddi,,20-10-2020,24-10-2020,0,,YDG APP CU,,D-65,,,,,,F0P0016646,P010012019,BPR,,,,,0,,Men’s Bottoms,,,135,,103072,DAC,RD,No,150,123.84,63.8,0,212.36,,,,Direct,,released new order dated 16 Oct 2020,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001537,1,132294,BAW,ST-ST,RFD0000000,RFD,200,BLAUER,,,Vasanth,,250,S81_S81-20001537,1,,,,202,-2,,,,,,,,,,,,,23-10-2020,,12-10-2020,,15-10-2020,,14-10-2020,DOMESTIC,RD,TRUE,,Arun Kumar,200-26/10/2020,0,0,22-10-2020,,,,0,0,,,0,0,0,0,0,0,0,,,0,1378.81,132294BDDKDW4,"32K.COM*20K.SPX(70D)-146*76-197.5-4/1,S SATIN-$",,Oct-20,14-10-2020,,,,,23-10-2020,,,,0,0,Unchecked,12-10-2020,,,,Baddi,,18-10-2020,,0,,,,D-65,,,,,,F010169621,,BPF,,,,,0,,Men’s Bottoms,,,200,,103072,DAC,RD,50 cm in each roll,147,109.37,28.53,0,112.1,,,,,,release new order dated 13 Oct 2020,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001510,1,12400011,BDKK,T-ST,RFD0000000,RFD,1450,BLAUER,SS-21,,Vasanth,,165,S81_S81-20001510,1,,,,1492,-42,,,,,,,,,,,,,,,10-10-2020,,25-11-2020,,25-11-2020,DOMESTIC,RD,TRUE,,Arun Kumar,1450-02/12/2020,0,0,29-11-2020,,,,0,0,,,0,0,0,0,0,0,0,,,0,0,12400011BDPP,"24K.TEN*24K.TEN-97*70-165.6-2/1,S TWILL",,Nov-20,02-12-2020,,,0,,,,,,0,0,Unchecked,10-10-2020,,,,Budhni,,25-11-2020,,0,,,,D-65,,,,,,F010171341,,BPF,,,,,0,,Men’s Bottoms,,,1450,,103072,DAC,RD,50 cm in each roll,148,105,23,0,37,,,,,,as per mail,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001508,1,132135,BD,ST-PST,RFD0000000,RFD,12000,BLAUER,,,Vasanth,,136,S81_S81-20001508,1,,,,11899.02,100.98,,,,,,,,,,,,,,,10-10-2020,,11-11-2020,,04-11-2020,DOMESTIC,RD,FALSE,,Arun Kumar,6000-07/11/2020 6000-21/11/2020,0,0,03-11-2020,,,,0,0,,,0,0,0,0,0,0,0,,,0,119877.74,13257BDDKD,"32K.COM*20K.SPX-144*76-180.1-3/1,S TWILL",,Nov-20,10-11-2020,,,0,,,,,,0,0,Unchecked,10-10-2020,,,,Budhni,,30-10-2020,,0,,,,D-65,,,,,,FBT0005909,,BPF,,,,,0,,Men’s Bottoms,,,12000,,103072,DAC,RD,50 cm in each roll,148,98.5,27.5,0,10,,,,,,,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001448,31,130Q28,BDCC,ST-PST,RFD0000000,RFD,1540,DIESEL,SS-21,,Vasanth,,130,S81_S81-20001448,31,,,,1582,-42,,,,,,,,,,,,,,,07-10-2020,,01-01-2021,,24-10-2020,DOMESTIC,RD,TRUE,,Arun Kumar,1540-27/01/2021,0,0,24-01-2021,,,,0,0,,,0,0,0,0,0,0,0,,,70,-0.1,130Q28BDCC,"30C*30SPX-132*80-162.6-2/1,S TWILL                ",,Jan-21,03-11-2020,,,0,,,,,,0,0,Unchecked,25-12-2020,,,,Budhni,,20-01-2021,,0,,,,D-65,,,,,,F010174670,,BPF,,,,,0,,Men’s Bottoms,,,1540,,103072,DAC,RD,50 cm in each roll,140,84.56,24.84,0,20.6,,,,,,yarn from 20-Oct,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001448,21,130Q28,BDCC,ST-PST,RFD0000000,RFD,550,DIESEL,SS-21,,Vasanth,,130,S81_S81-20001448,21,,,,567,-17,,,,,,,,,,,,,,,07-10-2020,,01-11-2020,,24-10-2020,DOMESTIC,RD,TRUE,,Arun Kumar,550-14/11/2020,0,0,10-11-2020,,,,0,0,,,0,0,0,0,0,0,0,,,70,-0.1,130Q28BDCC,"30C*30SPX-132*80-162.6-2/1,S TWILL                ",,Nov-20,05-11-2020,,,0,,,,,,0,0,Unchecked,07-10-2020,,,,Budhni,,05-11-2020,,0,,,,D-65,,,,,,F010170469,,BPF,,,,,0,,Men’s Bottoms,,,550,,103072,DAC,RD,50 cm in each roll,140,84.56,24.84,0,20.6,,,,,,yarn from 20-Oct,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001448,1,130Q28,BDCC,ST-PF,6000217496,Ginger,1300,DIESEL,SS-21,,Vasanth,,148,S81_S81-20001448,1,,,,1331,-31,,,,,,,,,,,,,,,07-10-2020,,01-11-2020,,24-10-2020,DOMESTIC,PD,TRUE,,Arun Kumar,1300-15/11/2020,0,0,11-11-2020,,,,0,0,,,0,0,0,0,0,0,0,,,70,-0.1,130Q28BDCC,"30C*30SPX-132*80-162.6-2/1,S TWILL                ",,Nov-20,30-10-2020,,,0,,,,,,0,0,Unchecked,07-10-2020,,,,Budhni,,05-11-2020,,0,,,,D-65,,,,,,F010170470,,BPF,,,,,0,Approved,Men’s Bottoms,,,1300,,103072,DAC,RD,50 cm in each roll,140,84.56,43.7,0,19.74,,,,,,yarn from 20-Oct,,,,,
RMGE,WIN INDIA EXPORTS,BLS81_S81-20001330,21,A160A390,BAMCJ,ST-ST,RFD0000000,RFD,5206,DIESEL,SS-21,,Vasanth,,173,S81_S81-20001330,21,,,,0,5206,,,,,,,,,,,,,02-11-2020,,28-09-2020,,01-12-2020,,,DOMESTIC,RD,FALSE,,Arun Kumar,,0,0,,,,,0,0,,,0,0,0,0,0,0,0,,,0,0,A160A390BAMC,60COM*30SPX(40D)-196*110-165.91-4/1 S SATIN,,Dec-20,,,,0,,,,,,0,0,Unchecked,11-12-2020,,,,Baddi,,,,0,,,,D-65,,,,,,,,BPF,,,,,0,,Men’s Bottoms,,,5206,,103072,DAC,RD,50 cm in each roll,134,115.5,22.34,0,35.16,,,,,,,,,,,
